date,num
27.05.2009,0
28.05.2009,0
29.05.2009,0
30.05.2009,0
31.05.2009,215968
01.06.2009,381335
02.06.2009,381349
03.06.2009,381349
04.06.2009,381349
05.06.2009,381429
06.06.2009,381429
07.06.2009,381429
08.06.2009,381429
09.06.2009,381429
10.06.2009,381429
11.06.2009,381429
12.06.2009,381429
13.06.2009,381429
14.06.2009,381429
15.06.2009,381429
16.06.2009,381429
17.06.2009,381429
18.06.2009,381429
19.06.2009,381429
20.06.2009,381429
21.06.2009,381429
22.06.2009,381429
23.06.2009,381429
24.06.2009,381429
25.06.2009,284352
26.06.2009,381335
27.06.2009,381342
28.06.2009,381342
29.06.2009,381349
30.06.2009,381349
01.07.2009,381335
02.07.2009,381429
03.07.2009,381349
04.07.2009,381349
05.07.2009,381349
06.07.2009,381349
07.07.2009,381429
08.07.2009,381429
09.07.2009,381429
10.07.2009,381429
11.07.2009,242039
12.07.2009,381429
13.07.2009,381429
14.07.2009,381429
15.07.2009,381429
16.07.2009,381429
17.07.2009,381429
18.07.2009,381429
19.07.2009,381429
20.07.2009,381429
21.07.2009,381429
22.07.2009,381429
23.07.2009,381429
24.07.2009,381429
25.07.2009,381429
26.07.2009,381429
27.07.2009,381429
28.07.2009,381429
29.07.2009,381429
30.07.2009,381429
31.07.2009,381429
01.08.2009,381429
02.08.2009,381429
03.08.2009,316769
04.08.2009,381429
05.08.2009,381429
06.08.2009,381429
07.08.2009,381429
08.08.2009,381429
09.08.2009,381429
10.08.2009,381429
11.08.2009,381575
12.08.2009,381429
13.08.2009,381429
14.08.2009,381575
15.08.2009,381575
16.08.2009,381575
17.08.2009,381568
18.08.2009,381575
19.08.2009,381575
20.08.2009,381575
21.08.2009,381575
22.08.2009,381575
23.08.2009,381575
24.08.2009,381575
25.08.2009,381575
26.08.2009,381575
27.08.2009,381575
28.08.2009,381575
29.08.2009,381575
30.08.2009,381575
31.08.2009,381575
01.09.2009,381575
02.09.2009,381575
03.09.2009,381575
04.09.2009,381575
05.09.2009,381575
06.09.2009,381575
07.09.2009,381481
08.09.2009,381575
09.09.2009,381575
10.09.2009,286269
11.09.2009,381575
12.09.2009,381575
13.09.2009,381575
14.09.2009,381575
15.09.2009,250930
16.09.2009,376275
17.09.2009,381568
18.09.2009,381575
19.09.2009,381575
20.09.2009,381575
21.09.2009,381568
22.09.2009,381575
23.09.2009,381575
24.09.2009,381575
25.09.2009,381575
26.09.2009,381575
27.09.2009,381568
28.09.2009,381561
29.09.2009,381575
30.09.2009,381575
01.10.2009,381575
02.10.2009,381575
03.10.2009,381575
04.10.2009,381575
05.10.2009,381561
06.10.2009,381575
07.10.2009,376275
08.10.2009,381575
09.10.2009,381575
10.10.2009,381575
11.10.2009,381575
12.10.2009,381568
13.10.2009,381575
14.10.2009,381575
15.10.2009,381575
16.10.2009,381575
17.10.2009,381575
18.10.2009,381575
19.10.2009,381561
20.10.2009,381575
21.10.2009,381575
22.10.2009,381575
23.10.2009,381575
24.10.2009,381575
25.10.2009,381575
26.10.2009,381561
27.10.2009,381575
28.10.2009,381568
29.10.2009,381568
30.10.2009,381575
31.10.2009,381575
01.11.2009,381575
02.11.2009,381568
03.11.2009,381575
04.11.2009,381568
05.11.2009,373883
06.11.2009,381593
07.11.2009,381593
08.11.2009,381593
09.11.2009,381600
10.11.2009,272
11.11.2009,152905
12.11.2009,381429
13.11.2009,94
14.11.2009,202195
15.11.2009,240
16.11.2009,228423
17.11.2009,381575
18.11.2009,381429
19.11.2009,381575
20.11.2009,381575
21.11.2009,381575
22.11.2009,240
23.11.2009,214385
24.11.2009,240
25.11.2009,231345
26.11.2009,362495
27.11.2009,240
28.11.2009,199538
29.11.2009,310674
30.11.2009,338234
01.12.2009,240
02.12.2009,205023
03.12.2009,381600
04.12.2009,265
05.12.2009,0
06.12.2009,373915
07.12.2009,381422
08.12.2009,381429
09.12.2009,94
10.12.2009,236645
11.12.2009,376275
12.12.2009,381349
13.12.2009,381349
14.12.2009,381342
15.12.2009,381422
16.12.2009,305374
17.12.2009,381600
18.12.2009,381600
19.12.2009,349807
20.12.2009,381429
21.12.2009,381422
22.12.2009,381429
23.12.2009,381429
24.12.2009,333729
25.12.2009,381575
26.12.2009,381568
27.12.2009,381568
28.12.2009,381568
29.12.2009,381568
30.12.2009,381568
31.12.2009,381568
01.01.2010,381568
02.01.2010,381568
03.01.2010,381568
04.01.2010,381561
05.01.2010,240
06.01.2010,0
07.01.2010,0
08.01.2010,210675
09.01.2010,381568
10.01.2010,240
11.01.2010,0
12.01.2010,375505
13.01.2010,381607
14.01.2010,381349
15.01.2010,375763
16.01.2010,381349
17.01.2010,381349
18.01.2010,381342
19.01.2010,381429
20.01.2010,381349
21.01.2010,376307
22.01.2010,381575
23.01.2010,381561
24.01.2010,381575
25.01.2010,381575
